"Total_Less_lethal_force_2020","ORI","Population","Police Department"
91,"MI3949900",76411,"Kalamazoo Department of Public Safety"
NA,"NJ0150600",76326,"Brick Township Police Department"
36,"MD0080000",76212,"Cecil County Sheriff"
10,"MI4183400",76071,"Wyoming Police Department"
NA,"SC0460300",76016,"Rock Hill Police Department"
22,"IA0520200",75964,"Iowa City Police Department"
NA,"CA0190600",75233,"Baldwin Park Police Department"
37,"AR0720200",74914,"Springdale Police Department"
1,"IL0160200",74706,"Arlington Heights Police Department"
8,"MA0091800",74680,"Framingham Police Department"
NA,"CA0011300",74625,"Union City Police Department"
28,"FL0490200",74337,"Kissimmee Police Department"
9,"CA0500700",74183,"Turlock Police Department"
NA,"GA0220000",74182,"Carroll County Sheriff's Office"
5,"TX2460900",73949,"Cedar Park Police Department"
14,"MN0272700",73939,"Maple Grove Police Department"
31,"CA0070800",73673,"Pittsburg Police Department"
53,"TX1010100",73610,"Baytown Police Department"
8,"IL0163200",73352,"Evanston Police Department"
NA,"NJ0040800",73127,"Camden Police"
NA,"IN0320000",73043,"Hendricks County Sheriff's Office"
28,"MD0110300",73042,"Frederick City Police Department"
12,"WA0170100",72871,"Auburn Police Department"
7,"MI6375100",72794,"Southfield Police Department"
NA,"CO0390000",72440,"Mesa County Sheriff's Office"
24,"FL0061800",72421,"Lauderhill Police Department"
38,"WI0680500",72421,"Waukesha Police Department"
